id,created_at,amount,currency,merchant_id,merchant_vertical,country,region,payment_method_type,card_brand,wallet_type,status,failure_code,failure_category,auth_outcome,risk_level,is_disputed,is_refunded,latency_ms,channel,experiment_bucket
pmt_bd5ab7b069,2026-01-05T19:39:49Z,1189,usd,m_001,saas,GB,EU,card,visa,,refunded,,,not_attempted,normal,0,1,1272,mobile,routing_v2
pmt_0acdc57fe1,2026-03-17T06:25:23Z,34973,usd,m_001,fintech,IN,APAC,wallet,,google_pay,succeeded,,,authorized,normal,0,0,548,web,control
pmt_449f200c9b,2026-02-10T17:42:15Z,5135,usd,m_003,ecommerce,IN,APAC,ach,,,succeeded,,,authorized,normal,0,0,2269,mobile,routing_v2
pmt_d585d7d59a,2026-03-05T10:48:14Z,26435,usd,m_005,saas,DE,EU,card,mastercard,,succeeded,,,authorized,highest,0,0,444,api,control
pmt_a51d37e4f0,2026-02-27T09:05:33Z,39998,usd,m_005,fintech,SG,APAC,card,discover,,succeeded,,,authorized,normal,0,0,1160,api,auth_opt_v1
pmt_61754df1cf,2026-01-12T00:56:08Z,22217,usd,m_005,ecommerce,AU,APAC,rtp,,,succeeded,,,authorized,normal,0,0,688,web,auth_opt_v1
pmt_8456a7f917,2026-02-04T09:01:12Z,5799,usd,m_003,gaming,AU,APAC,ach,,,succeeded,,,authorized,elevated,0,0,1836,api,control
pmt_b1032108e4,2026-02-04T11:50:32Z,30593,usd,m_002,gaming,US,NA,wallet,,google_pay,succeeded,,,authorized,normal,0,0,1672,api,control
pmt_4688eb4ae6,2026-02-08T18:48:14Z,29431,usd,m_003,fintech,SG,APAC,card,visa,,succeeded,,,authorized,normal,0,0,2530,api,control
pmt_3d9057a114,2026-03-08T07:59:35Z,34305,usd,m_002,gaming,SG,APAC,card,discover,,pending,,,not_attempted,normal,0,0,966,mobile,routing_v2
pmt_d349aec180,2026-02-12T17:13:00Z,19062,usd,m_003,saas,IN,APAC,card,visa,,succeeded,,,authorized,normal,0,0,1056,web,control
pmt_0ddcd5f488,2026-01-05T09:04:22Z,37527,usd,m_005,ecommerce,GB,EU,card,discover,,succeeded,,,authorized,normal,0,0,1863,web,control
pmt_f6423b5163,2026-01-08T16:57:34Z,40341,usd,m_003,saas,AU,APAC,ach,,,succeeded,,,authorized,elevated,0,0,305,mobile,auth_opt_v1
pmt_a777843576,2026-01-17T14:17:23Z,14153,usd,m_005,saas,BR,LATAM,ach,,,refunded,,,not_attempted,normal,0,1,404,web,control
pmt_3535686169,2026-02-09T17:24:03Z,49357,usd,m_005,marketplace,GB,EU,card,mastercard,,refunded,,,not_attempted,normal,0,1,1973,web,routing_v2
pmt_a10ae7ecb3,2026-01-17T09:29:43Z,38625,usd,m_004,gaming,AU,APAC,card,amex,,pending,,,not_attempted,normal,0,0,677,mobile,control
pmt_164228ca67,2026-03-12T15:27:32Z,27999,usd,m_003,gaming,SG,APAC,rtp,,,succeeded,,,authorized,normal,0,0,1053,mobile,auth_opt_v1
pmt_7475110bd1,2026-01-15T14:18:27Z,48912,usd,m_005,marketplace,SG,APAC,card,amex,,succeeded,,,authorized,elevated,0,0,813,mobile,control
pmt_c2f459dfce,2026-03-04T16:59:08Z,17815,usd,m_001,ecommerce,SG,APAC,card,discover,,succeeded,,,authorized,elevated,0,0,1882,web,control
pmt_ac14f89a2b,2026-01-02T07:00:18Z,43185,usd,m_002,saas,SG,APAC,card,discover,,succeeded,,,authorized,normal,0,0,2970,api,control
pmt_86ceea3efe,2026-02-26T00:47:02Z,10130,usd,m_001,fintech,CA,NA,ach,,,refunded,,,not_attempted,normal,0,1,759,api,control
pmt_db80036f49,2026-02-28T21:57:29Z,13953,usd,m_003,gaming,SG,APAC,card,mastercard,,succeeded,,,authorized,elevated,0,0,888,web,control
pmt_5783ef631b,2026-01-16T08:08:28Z,43350,usd,m_004,gaming,GB,EU,wallet,,apple_pay,succeeded,,,authorized,normal,0,0,1959,web,routing_v2
pmt_690414bc12,2026-03-14T04:45:31Z,2056,usd,m_004,gaming,AU,APAC,rtp,,,pending,,,not_attempted,elevated,0,0,520,mobile,control
pmt_e854446e82,2026-01-23T00:44:27Z,18027,usd,m_001,fintech,US,NA,card,visa,,succeeded,,,authorized,normal,0,0,1935,web,routing_v2
